"probe" "coef_cohort1" "se_cohort1" "P_VAL_cohort1" "N_for_probe_cohort1" "coef_cohort2" "se_cohort2" "P_VAL_cohort2" "N_for_probe_cohort2" "coef_cohort3" "se_cohort3" "P_VAL_cohort3" "N_for_probe_cohort3" "N" "coef.fe" "se.fe" "p.fe" "q.fe" "het.p.fe" "i2.fe" "h2.fe" "fdr"
"8751" "cg05575921" -0.157232401962267 0.0105768333066949 3.44976569812742e-31 188 -0.141011196029455 0.0116916196100385 2.42078136795541e-23 176 -0.15591006135857 0.0108432383770476 1.58369622319518e-28 166 530 -0.151985389590704 0.00635516475696358 2.12537350380226e-126 1.25814645625582 0.533085620901226 0 0.629073228127908 8.0428384130885e-122
"29988" "cg21566642" -0.119086816693394 0.00928642925636978 8.297568508547e-26 188 -0.113436045131437 0.00970707921272192 2.23046884672525e-22 176 -0.106191189290461 0.0097541654195565 5.89117516482637e-20 166 530 -0.11311143322731 0.00552841640003278 4.89322128189679e-93 0.918491729494904 0.631759898315305 0 0.459245864747452 9.25846398747693e-89
"5907" "cg03636183" -0.0726214791845349 0.0057008363306392 1.396044315152e-25 188 -0.0604140325517101 0.00619867627852931 2.07301055678031e-17 176 -0.0753131566227215 0.00612381746395964 1.88168292519294e-23 166 530 -0.0696748261533205 0.00346144686486498 4.12740923834263e-90 3.34691603389493 0.187597228317249 40.2434964084676 1.67345801694747 5.20631401324539e-86
"3198" "cg01940273" -0.0765215669523619 0.0064146065452714 1.99249549336977e-23 188 -0.0773771828868875 0.00643602651809247 3.03813246323872e-23 176 -0.0686421684723891 0.0064364183863363 2.09196224560587e-19 166 530 -0.0741857397252265 0.00371178077091025 7.2094036375481e-89 1.12029472261443 0.571124895936172 0 0.560147361307216 6.82045631130238e-85
"32409" "cg23576855" -0.164672158843398 0.0146557267156421 1.39288355137588e-21 188 -0.140544940361795 0.0168471217813648 6.60133824920718e-14 176 -0.182434482582799 0.0131504851758983 2.63212585385632e-27 166 530 -0.165940188671347 0.00846318581781458 1.3396775084796e-85 3.85292210478284 0.145662780355622 48.0913461105976 1.92646105239142 1.0139215255177e-81
"9317" "cg05951221" -0.0931688957368863 0.00757753040933167 2.11076395699393e-24 188 -0.089175275576065 0.00878673281035588 1.96169377896272e-18 176 -0.084492235694527 0.007639413300424 2.19078668367451e-20 166 530 -0.0889502190466291 0.0045881729991285 9.96573894989364e-84 0.65114111199344 0.722115228908956 0 0.32557055599672 6.28539155569792e-80
"5406" "cg03329539" -0.0525721394924626 0.00522070755740087 1.68116083102043e-18 188 -0.0484540482306096 0.00582059637102792 7.29605973359029e-14 176 -0.0485323290143153 0.00592854518438521 2.30953654063919e-13 166 530 -0.0500737606673213 0.00325029497033122 1.49365150458465e-53 0.374048297447662 0.829423706619528 0 0.187024148723831 8.07468003378464e-50
"9550" "cg06126421" -0.0874515798070619 0.0102430390078668 1.49574731155706e-14 188 -0.0700051239103583 0.0104365545414137 4.64666939154135e-10 176 -0.0739413879633415 0.00977499386644192 6.59821591924687e-12 166 530 -0.077116018530941 0.00585429685552055 1.26259851932034e-39 1.58785397955063 0.452066046262186 0 0.793926989775315 5.97240664601506e-36
"21521" "cg14753356" -0.0366466018707977 0.00442414010868892 6.49380142727251e-14 188 -0.0335361864295842 0.00501716799012017 5.24352645387661e-10 176 -0.0312405311363436 0.00476294258961407 1.20344822365101e-09 166 530 -0.0339640582851745 0.00272268149616218 1.02864958190613e-35 0.701897635052539 0.704019786407719 0 0.35094881752627 4.32512860872131e-32
"16074" "cg10750182" -0.0216296087930847 0.00287865339267895 4.99744744674467e-12 188 -0.0204260054826811 0.0032730678505191 4.98455762231637e-09 176 -0.0207505695395823 0.00289077454657745 5.04817308512319e-11 166 530 -0.0209776765278404 0.00173113248110196 8.49151270356295e-34 0.085869961379744 0.957973674829611 0 0.042934980689872 3.21335823728229e-30
"27893" "cg19859270" -0.0180082993199525 0.00227927875702079 5.7365684106832e-13 188 -0.0153360772453333 0.00255999935578723 1.71166885974443e-08 176 -0.0156368218816494 0.00226751067074387 2.17459140360535e-10 166 530 -0.0163977864731736 0.00136137175878103 2.05959623718877e-33 0.783892744493645 0.675740351425729 0 0.391946372246822 7.08538552797248e-30
"13082" "cg08472795" -0.0275773177712644 0.00394671359377589 8.8029434629307e-11 188 -0.0300807319491187 0.00407202135068281 1.28217588517552e-11 176 -0.0279265350727633 0.00433701622493858 2.19239570613972e-09 166 530 -0.0285315684418476 0.00237241548492826 2.58239294901865e-33 0.22265611240341 0.894645206874077 0 0.111328056201705 8.14357616473032e-30
"30635" "cg22132788" 0.0712928319851833 0.00977460348398669 1.75390871369255e-11 186 0.0700016445227326 0.0112063137801677 4.98689779591171e-09 174 0.077100318611917 0.011424233429132 4.8220246070033e-10 164 524 0.0726042028483345 0.00619084930277137 9.19612436655127e-32 0.226823857260849 0.89278282155465 0 0.113411928630424 2.67692106368487e-28
"27518" "cg19572487" -0.0481560116744155 0.00671850081474444 3.33058212004345e-11 188 -0.0443311602183618 0.00688990644461847 1.88350843679931e-09 176 -0.0530783319154108 0.00797935061893036 7.53793251102565e-10 166 530 -0.0481006391986044 0.00411952923166335 1.6857618054814e-31 0.688541724990093 0.708736931794715 0 0.344270862495047 4.55661416021622e-28
"29492" "cg21161138" -0.0471471511610926 0.00667481280020296 5.85054813578628e-11 188 -0.0396621145227609 0.00719824025395838 1.69641850981923e-07 176 -0.0454007218469329 0.0067929752935007 6.4270433098613e-10 166 530 -0.0442723932495738 0.00397101510101943 7.25087230527074e-29 0.623287316623301 0.73224241024073 0 0.311643658311651 1.8292500651737e-25
"36391" "cg26703534" -0.0286227501857165 0.00374567905123107 2.45804169431041e-12 188 -0.0245751499608546 0.00422753656692254 4.04356112922275e-08 176 -0.0248069803154075 0.00437538492777861 8.99823256784499e-08 166 530 -0.0262501558576115 0.00236053836897863 9.98115909671807e-29 0.66700215909387 0.716411125240113 0 0.333501079546935 2.36066889086253e-25
"18654" "cg12803068" 0.109223169970395 0.0168963336068963 1.38017456125434e-09 188 0.104594659168672 0.0194745500278804 3.2274602008993e-07 176 0.112340239353873 0.0174535052862455 2.22061471650967e-09 166 530 0.109013917115357 0.0103020266892097 3.61963002042893e-26 0.0879696926043051 0.956968458974047 0 0.0439848463021526 8.05729642547479e-23
"3131" "cg01901332" -0.0330519624809945 0.0045531137655952 2.02458296474269e-11 188 -0.0294283010630933 0.00599091006400843 2.50424544267654e-06 176 -0.0288818150390861 0.00533412643240448 2.91529029871917e-07 166 530 -0.030826913434733 0.00299819099835443 8.50894240485097e-25 0.426287778540271 0.808039860585429 0 0.213143889270135 1.78886332491317e-21
"17525" "cg11902777" -0.017396255710011 0.00280362167309962 5.1860116645634e-09 188 -0.0170681791981993 0.0030781869944703 1.44144474868858e-07 176 -0.0186241963442309 0.00313130217578156 2.41700258841022e-08 166 530 -0.0176669393388578 0.00172838653491703 1.58639314942356e-24 0.140614396262992 0.932107434257475 0 0.0703071981314962 3.15959418739402e-21
