"probe" "coef_cohort1" "se_cohort1" "P_VAL_cohort1" "N_for_probe_cohort1" "coef_cohort2" "se_cohort2" "P_VAL_cohort2" "N_for_probe_cohort2" "coef_cohort3" "se_cohort3" "P_VAL_cohort3" "N_for_probe_cohort3" "N" "coef.fe" "se.fe" "p.fe" "q.fe" "het.p.fe" "i2.fe" "h2.fe" "fdr"
"9317" "cg05951221" -0.0517850712067874 0.00514926348854758 8.88633415949303e-19 205 -0.0519065280483471 0.00611759122844645 2.26280932874877e-14 188 -0.0548408055147506 0.00560384331631881 1.37374773029008e-17 183 576 -0.0528294571654559 0.00322280946346797 2.16854534193443e-60 0.192722841315185 0.908135737733479 0 0.0963614206575927 8.20620928294828e-56
"29988" "cg21566642" -0.0541993409795477 0.00675487662040912 2.04117655967699e-13 204 -0.0534003435478739 0.00786401364272608 2.69811863999956e-10 187 -0.0577885070646545 0.00672657853020425 1.49153068984579e-14 182 573 -0.0553026358263142 0.00407612803276319 6.24630728459966e-42 0.221766781034308 0.895043113358545 0 0.110883390517154 1.1818638013191e-37
"3198" "cg01940273" -0.0322814862933398 0.00400497462214085 1.60628977551233e-13 205 -0.0303454620178255 0.00422070127419966 3.15136389872605e-11 188 -0.0348665468826913 0.00471163362912377 1.10740404631203e-11 183 576 -0.0323289948127062 0.00247290379494483 4.6795349849744e-39 0.511056257687482 0.774507350257879 0 0.255528128843741 5.90276543004671e-35
"10297" "cg06644428" -0.0261806941671957 0.00351262441771319 5.23411137195502e-12 205 -0.0276434717713244 0.00369173736786476 6.20254137868406e-12 188 -0.0258632711278207 0.00382782585813896 3.40493434896204e-10 183 576 -0.0265654134635155 0.00211919019455944 4.76476142852382e-36 0.130917872426189 0.936637507852974 0 0.0654589362130943 4.50770254945496e-32
"8751" "cg05575921" -0.035614377157168 0.00494796212666634 2.18668090616794e-11 205 -0.036512402416631 0.0053520589055634 2.24242294233848e-10 188 -0.0409662932910499 0.00569174695432315 3.30473164724148e-11 183 576 -0.0374577974939478 0.00306246777220063 2.1166597016813e-34 0.549975534666218 0.759581414874562 0 0.274987767333109 1.60197272862047e-30
"23219" "cg16140952" -0.0228471101850643 0.00354256437622124 1.27907623039654e-09 203 -0.0238207310119595 0.00370146424350047 1.72657954740197e-09 186 -0.0241828914636033 0.00347043828055834 1.16858796076963e-10 181 570 -0.0236191577115098 0.00205977563454836 1.93556970263083e-30 0.0768475112049704 0.962305072313313 0 0.0384237556024852 1.22076381144927e-26
"5907" "cg03636183" -0.0226889113583726 0.00433473893553231 5.09302031428915e-07 205 -0.0234741599946515 0.00439901767250025 3.56384140914981e-07 188 -0.0257690567268137 0.004113439027245 4.22846902869595e-09 183 576 -0.0240463579297073 0.00246935263254148 2.07763671481141e-22 0.290377020485469 0.864859242917095 0 0.145188510242735 1.12317040802705e-18
"34443" "cg25189904" -0.047272019530441 0.00939046869934209 1.27083578832041e-06 205 -0.0458861293270352 0.00920733575894662 1.74931532356704e-06 188 -0.0555096264318839 0.00836676776264668 6.41824174163453e-10 183 576 -0.0499797629501618 0.0051693987013084 4.1078926849224e-22 0.717650966837648 0.698496239891229 0 0.358825483418824 1.94313593728542e-18
"14151" "cg09279949" -0.00568776611729077 0.00102823301812313 1.25509755526512e-07 205 -0.00582408211966931 0.00109573940487847 3.92584917853832e-07 188 -0.0069099422254973 0.00119756090186779 4.80473118932055e-08 183 576 -0.00607780237617332 0.000635513327068821 1.13717942661962e-21 0.680338454004173 0.7116498821959 0 0.340169227002087 4.78146042912664e-18
"37510" "cg27532754" 0.00922483452977777 0.00183350075273952 1.28683093972226e-06 205 0.00889008993733353 0.00187654605323818 5.09619959627399e-06 188 0.0102566849056066 0.00181710194817433 8.74421557646092e-08 183 576 0.00947073067259677 0.00106340749472168 5.28963776857089e-19 0.300810654229019 0.860359178837873 0 0.150405327114509 2.00170472438259e-15
"33267" "cg24257309" 0.0139951728833284 0.00274150423554849 9.21773683503337e-07 205 0.00976033535857221 0.00244794217895318 0.000105496419536462 188 0.0161927552317376 0.00271620901172041 1.89928623677721e-08 183 576 0.0130563414999456 0.00151537485180938 6.9384987274106e-18 3.2635104510058 0.195585975176663 38.716298598535 1.6317552255029 2.38696971675156e-14
"5406" "cg03329539" -0.0201067543173332 0.00383228831843019 4.80740203037168e-07 205 -0.0201986253381862 0.00403817703533817 1.61362926232911e-06 188 -0.0198183993831045 0.00431812720723587 9.71210754833845e-06 183 576 -0.0200530479017693 0.00233734163259194 9.53483293752271e-18 0.00444889362894202 0.997778025433876 0 0.00222444681447101 3.00680956684779e-14
"2556" "cg01552919" 0.0130690580734915 0.0025881505931382 1.1847878008581e-06 205 0.0133343726004299 0.00265833417386627 1.51563117232762e-06 188 0.0135382020884191 0.00294305495050333 9.29720095932496e-06 183 576 0.0132948023640942 0.0015689347545127 2.37563135424681e-17 0.0146690930095793 0.99269228564081 0 0.00733454650478963 6.91528013133905e-14
"19837" "cg13676996" 0.0120300718342376 0.00243383473125926 1.91256494892155e-06 205 0.0128495146051099 0.00241553600650912 3.84860376317977e-07 188 0.0111421083910952 0.0026129882528309 3.64944875305773e-05 183 576 0.0120514157096866 0.00143345827341741 4.19801569373842e-17 0.230343298722461 0.891213154608241 0 0.11517164936123 1.10589137157587e-13
"29554" "cg21202204" -0.019503187519248 0.0040048795365184 2.64323607489334e-06 205 -0.0190679155124978 0.00454575866545553 4.73088994237852e-05 188 -0.0214396242858501 0.00394907195257566 2.40170122501027e-07 183 576 -0.0200928161489777 0.00239138841882528 4.38358717130123e-17 0.188820698065674 0.909909305218777 0 0.0944103490328372 1.10589137157587e-13
"6591" "cg04120546" 0.0148782293530015 0.00307176004214496 2.96777641876649e-06 205 0.0178259951376246 0.00297678574051374 1.58586574698341e-08 188 0.0125933607323182 0.00361996652514649 0.000669638428486082 183 576 0.0154145654156982 0.00184070352677683 5.55628495893908e-17 1.29409231884097 0.523590096475025 0 0.647046159420486 1.31413084635108e-13
"16016" "cg10700643" -0.0113623670185715 0.00244555163317328 6.98178112951544e-06 205 -0.0107105841779199 0.00273809994601092 0.000140225580133436 188 -0.0152772965361131 0.00259426656474431 2.70630679212054e-08 183 576 -0.0124638575084739 0.00149208744530439 6.63804659728195e-17 1.78898544049016 0.408814929586295 0 0.894492720245079 1.42113276061063e-13
"19030" "cg13114836" -0.0122902779249755 0.00252578037132855 2.68936114483254e-06 205 -0.0124226548428542 0.00242995225623403 9.86698878802808e-07 188 -0.0131760617353492 0.00294720888189041 1.58718938762706e-05 183 576 -0.0125722066445427 0.00150544501239738 6.75978798451227e-17 0.0582270452063411 0.971306193000066 0 0.0291135226031705 1.42113276061063e-13
"13397" "cg08719869" -0.0086260422646276 0.00180925823511497 4.13415280061932e-06 205 -0.00988763821314202 0.00163902936976065 1.2742977261423e-08 188 -0.0059009895798128 0.00174943773982089 0.000959180037502279 183 576 -0.00820715181039406 0.000997770054667505 1.94387654503468e-16 2.84256310600931 0.241404445980553 29.6409639676281 1.42128155300465 3.87158822195802e-13
"27518" "cg19572487" -0.0284468000252202 0.00616882870248544 8.09622662788663e-06 205 -0.0270090769556139 0.0060807191560204 1.75524135933305e-05 188 -0.0335403648586675 0.00647512614911048 7.49875149148461e-07 183 576 -0.0295171356759437 0.00359968114946666 2.40525809945371e-16 0.586287151654837 0.745915037639987 0 0.293143575827418 4.55098884997636e-13
"10356" "cg06675483" -0.0136784405018173 0.00280315277808176 2.53126803249426e-06 205 -0.0152617571924278 0.00274548436939485 1.26119712670567e-07 188 -0.0120427929519283 0.00336649505272822 0.000475969991662958 183 576 -0.0138672324316035 0.00169475304310903 2.78129627977803e-16 0.5562322494362 0.757208885740277 0 0.2781161247181 5.01189589616e-13
"35574" "cg26122451" 0.0184926674816766 0.00443700464061311 5.00132664365235e-05 205 0.0184856626771131 0.00405382541805676 1.07713216944936e-05 188 0.0216315170288004 0.00402880796235079 3.16604910142973e-07 183 576 0.0196063765239868 0.00240246102845682 3.3238578759139e-16 0.392104615949339 0.821969238007581 0 0.19605230797467 5.71733771546972e-13
"994" "cg00574412" -0.014443421495173 0.00313748742022552 8.37171214405265e-06 205 -0.0154046186144499 0.00317445582237582 3.10334928691275e-06 188 -0.0159724533489265 0.00348041084283297 9.72581595089512e-06 183 576 -0.0152254653514439 0.00187853515593153 5.27598574382497e-16 0.111379048892926 0.945832748254375 0 0.0556895244464628 8.68060228338368e-13
