"","chromosome","position","p.value.none","p.value.all","p.value.sva","coefficient.none","coefficient.all","coefficient.sva"
"cg05575921","chr5",373378,9.94146782587545e-86,1.45024686315311e-84,3.44976569812742e-31,-0.245880795441978,-0.245123768589074,-0.157232401962267
"cg21566642","chr2",233284661,8.98604076206473e-41,4.96370058880869e-41,8.297568508547e-26,-0.170494819458646,-0.170075529940143,-0.119086816693394
"cg03636183","chr19",17000585,2.34640100343194e-29,4.98958579857224e-33,1.396044315152e-25,-0.111135224609592,-0.115084621790777,-0.0726214791845349
"cg05951221","chr2",233284402,7.14922165907163e-37,2.50896555081046e-38,2.11076395699393e-24,-0.12080423988306,-0.115463856477546,-0.0931688957368863
"cg01940273","chr2",233284934,1.81877402556851e-32,9.77665311429493e-36,1.99249549336977e-23,-0.0980652380107591,-0.0999588893770441,-0.0765215669523619
"cg23576855","chr5",373299,2.58068087322431e-53,9.14805194723908e-56,1.39288355137588e-21,-0.229707007820318,-0.238511026957705,-0.164672158843398
"cg03329539","chr2",233283329,1.5569859433523e-20,5.24898263914716e-20,1.68116083102043e-18,-0.0679075328760418,-0.0620142127031775,-0.0525721394924626
"cg06126421","chr6",30720080,2.06371726412045e-24,7.54791296634541e-26,1.49574731155706e-14,-0.142142419678587,-0.125894991210215,-0.0874515798070619
"cg14753356","chr6",30720108,5.24290941862909e-08,6.38531105134395e-18,6.49380142727251e-14,-0.0629454695430364,-0.0522293214239565,-0.0366466018707977
"cg19859270","chr3",98251294,1.64073602699357e-22,3.4013100477281e-26,5.7365684106832e-13,-0.0259834208507004,-0.0259671952425462,-0.0180082993199525
"cg26703534","chr5",377358,2.00544023055867e-12,2.83141881268109e-13,2.45804169431041e-12,-0.0391849850000719,-0.041862426272685,-0.0286227501857165
"cg10750182","chr10",73497514,0.000105746925405908,3.62416667543244e-06,4.99744744674467e-12,-0.0193723986939141,-0.0169720970641939,-0.0216296087930847
"cg22132788","chr7",45002486,4.15596753380473e-19,1.90367096819768e-13,1.75390871369255e-11,0.0865504226106778,0.0805457874372766,0.0712928319851833
"cg01901332","chr11",75031054,2.36308069129997e-08,3.14921028285417e-08,2.02458296474269e-11,-0.0411850559580207,-0.0346078398701386,-0.0330519624809945
"cg19572487","chr17",38476024,5.98311863100351e-18,9.16992145666477e-22,3.33058212004345e-11,-0.0833573697729821,-0.08302770677937,-0.0481560116744155
"cg21161138","chr5",399360,3.06243060513125e-19,1.2280567672836e-22,5.85054813578628e-11,-0.0706109851231533,-0.0733512965150577,-0.0471471511610926
"cg08472795","chr2",129067253,1.21129344640341e-12,3.54014480447593e-11,8.80294346293070e-11,-0.0277701389536981,-0.0265605143406981,-0.0275773177712644
"cg23161492","chr15",90357202,2.52638528180935e-10,1.92844711047312e-14,1.19194468460963e-09,-0.0548955588343563,-0.049872054652421,-0.036066262739058
"cg12803068","chr7",45002919,2.55661422850765e-11,2.91176090741718e-10,1.38017456125434e-09,0.126429911691584,0.119372909122628,0.109223169970395
"cg22851561","chr14",74214183,2.86311526808855e-07,9.16126069571807e-11,2.08741215796915e-09,-0.0439886472865261,-0.0400648133897758,-0.0307432866484013
"cg02451831","chr7",26578098,1.45033945870106e-08,2.36677543533418e-12,2.47264702277344e-09,-0.0312918671669152,-0.0343660835073002,-0.0291378902515035
"cg11902777","chr5",368843,3.26565714967987e-10,8.40820235978766e-11,5.1860116645634e-09,-0.0166110881041216,-0.017426592349292,-0.017396255710011
"cg13193840","chr2",233285289,8.90560540176813e-13,2.14305415311803e-12,6.80579520946056e-09,-0.0224479631228133,-0.0213478794967881,-0.0186356880817874
"cg23916896","chr5",368804,5.91783461900445e-14,2.10863853110558e-14,1.21739177564716e-08,-0.0540621331428962,-0.0563803314764217,-0.0519403074624773
"cg14624207","chr11",68142198,3.47828963879936e-08,8.04459762733351e-09,1.29692249677043e-08,-0.0320843963709227,-0.0287338541681071,-0.0252242490019337
"cg27537125","chr1",25349681,3.41117055351232e-12,2.06576197080077e-13,1.61903445778409e-08,-0.0245493803286364,-0.0232158991123737,-0.0124744712390965
"cg00706683","chr2",233251030,0.0302279982164267,0.00699019982523748,2.47535385380821e-08,0.0129023060675969,0.0147363398612435,0.0264121926289473
"cg25317941","chr2",233351153,0.0024773976826083,3.63833457532794e-05,2.92149700625781e-08,0.0092281465987569,0.0133959908763775,0.0150284965711217
"cg14817490","chr5",392920,1.68263892643404e-18,8.76661982258826e-21,6.00756681615919e-08,-0.0641568812669501,-0.0581544967584462,-0.0338092978206836
"cg12223997","chr11",9159596,0.00261574078258316,0.000914438438377906,6.06841470194892e-08,-0.0143064071569741,-0.0145417214711439,-0.0197165491590447
"cg06330797","chr6",167195910,0.396097306109805,0.16873959324215,6.52817715607909e-08,-0.00834426950291362,-0.0212392399632132,-0.15607666632282
"cg06644428","chr2",233284112,1.367615302113e-09,3.31402903529697e-07,1.09493198060376e-07,-0.0329591958110603,-0.0255583177861707,-0.0247999830073298
"cg13388830","chr10",103910870,0.000733012030628816,1.78811638444183e-09,1.21713256848194e-07,-0.0212683871254576,-0.0276537976383816,-0.0261609000389972
"cg06235438","chr16",30485966,0.0281080542616552,4.43324764374067e-13,1.49961419045282e-07,-0.0222491335152339,-0.0332722400026254,-0.021073998781309
"cg21611682","chr11",68138269,5.88749728594789e-09,3.69763575708003e-13,1.90955560979581e-07,-0.0302498526654934,-0.0332603476241672,-0.0201908009108017
"cg24134897","chr11",859670,0.00060965721579328,6.15559964030559e-07,1.93511250086492e-07,0.0426341294572357,0.0454072566512194,0.043182870957822
"cg17170758","chr1",91195895,5.09626447095922e-09,5.93324708415617e-09,2.33089616726265e-07,-0.0085033750008799,-0.0081640597294466,-0.00629044001732291
"cg07427945","chr17",45973527,6.08847452643534e-06,3.39944194463766e-06,2.42288847621665e-07,-0.00469237214375158,-0.00478963684828856,-0.00545368068929499
"cg05341781","chr1",164723567,0.0122877706488594,0.00891115031837784,3.37993115786705e-07,0.00792461100977578,0.00651883735106797,0.0147548198265864
"cg03376029","chr16",89133406,0.0593270342862791,0.000913832775141985,7.00584113993603e-07,-0.00874232506430558,-0.0140053512366146,-0.0186522781826106
"cg19704102","chr3",42121737,0.914364447793347,0.397378515559632,9.24799205918689e-07,0.00173953050798367,0.010332439590685,0.0596582820446085
"cg07826859","chr7",45020086,0.00238748680904459,2.30148082454406e-11,1.01292278192692e-06,-0.0213059936404568,-0.0318884932235043,-0.0176600032519032
"cg04313565","chr16",17561865,0.0021391062532275,0.00151108248555013,1.37273989636364e-06,-0.0383048122404778,-0.0159749773460555,-0.0231317714204053
"cg12623536","chr10",73848817,0.616665434199128,0.000569008357041548,1.47114941040101e-06,-0.00320458458517982,0.0110571346017942,0.0126364940661572
"cg09795027","chr17",74006440,0.0312905716088804,0.0005377481150206,2.51140027592979e-06,0.0158591790669896,0.0183244154921915,0.0273035040832061
